id,resourceType,title,description,startDate,endDate,lat,lon,Evacuated,Homeless,Injuries,Deaths,Insured Cost,Train(s) Affected,Home(s) Affected,Building(s) Affected,Water vessel(s) affected,Government assistance,region
2,Disaster Event,Industrial,"On 13 June 1989, exceptionally heavy rain caused strong flows in the creek system to the south and east of the EMU mine situated in Leinster. The 450 south pit adjacent to the operating mine began to rise as the blocked creek system backed up and began to spill over into it. At the same time, the main AG pit began to fill with water.  The mining crew made preparation to vacate the decline. At about the time water began to overtop the narrow neck of ground between the two pits and to cascade into the south end of the main AG pit, five mining crew were attempting to retrieve a pump. The neck of ground separating the pits began to erode rapidly, increasing the rate of water flow into the AG pit. The Manager drove into the pit and down into the decline to evacuate the men. All six men drowned.",1989-06-13,13/06/1989,-27.79534912,120.7287598,0,0,0,6,0,0,0,0,0,0,Western Australia
3,Disaster Event,Industrial,"On 24 July 1979 an explosion occurred in the underground mine in Appin, a small town situated 35 km north-west of Wollongong. The explosion was caused by a rush of methane gas in the K panel which was a remote area of the mine situated 3 km below the surface.  There were 45 individuals working in the mine at the time of the explosion. A total of 14 people lost their lives; 10 miners were killed in the crib room, while another four were killed in other areas of the mine.",1979-07-24,24/07/1979,-34.19221115,150.7863312,0,0,0,14,0,0,0,0,0,0,New South Wales
4,Disaster Event,Transport,"On 18 January 1977, a passenger train left Mount Victoria in the Blue Mountains for Sydney. Whilst negotiating a left hand curve 250 m west of the Granville Railway Station, the train derailed causing it to collide with the northern trestle supporting the Bold Street Bridge. The bridge collapsed on the train, destroying one carriage and crushing two others.  The derailed locomotive demolished the eight stanchions of the northern trestle, sheering a power pylon from its base before overturning. Eight people died when the top of the first carriage was demolished as it caught the power pylon. The second carriage stopped clear of the bridge. The third and fourth carriages were crushed when the unsupported northern span of the 30 m wide bridge collapsed, killing&nbsp;83 people. The following four carriages remained on the rails, causing injuries to 210 passengers.  A Departmental and Judicial Inquiry found that poor maintenance was a critical factor, with no evidence to support any offence against the driver and the crew.  On the twentieth anniversary of the disaster, a memorial was erected at Granville containing the names of the deceased.",1977-01-18,18/01/1977,-33.83146286,151.009964,0,0,210,83,0,1,0,0,0,0,New South Wales
6,Disaster Event,Urban Fire,"On the night of 8 April 1996, a fire broke out in Unit 31 of Victoria's largest institution housing people with intellectual disabilities. Unit 31 was a locked ward, without a sprinkler system or an adequate alarm system, and subsequently the nine residents inside were killed by the fire.  A Coronial Inquest was held following the fire.",1996-08-04,04/08/1996,-37.81215668,144.9636536,0,36,0,9,0,0,0,0,0,0,Victoria
9,Disaster Event,Transport,"On 28 April 2006, a V/Line passenger train bound for Ararat with 36 passengers on board collided with a truck in Trawalla in country Victoria. The train's two carriages were derailed as a result of the high speed of the collision. Two people were killed and up to 20 passengers were injured. The crossing had a give way sign but no bells or boom gates. The State Government announced in early 2008 that the Trawalla crossing has been upgraded to feature boom barriers, flashing warning lights and audible warning bells.",2006-04-28,28/04/2006,-37.43626022,143.4694214,0,0,18,2,0,0,0,0,0,0,Victoria
10,Disaster Event,Industrial,"On 9 May 2006, an explosion occurred at a munitions factory in Gladstone, South Australia. Three workers were killed and two others injured. The blast destroyed the factory and leveled almost everything within a 100 m radius of the factory and was heard up to 70 km away. Emergency services were kept at a distance until bomb experts from Adelaide gave the all clear to enter the immediate vicinity of the factory.  SafeWork South Australia and the Full Court of the Industrial Court found the explosion to be caused by friction in a 'ribbon blender', or chemical mixer, as a result of poor maintenance. The company was fined for failure to maintain a safe workplace and ordered to pay legal costs and compensation to the victim's families.",2006-05-09,09/05/2006,-33.26222992,138.3563232,0,0,2,3,0,0,0,0,0,0,South Australia
12,Disaster Event,Cyclone,"Tropical Cyclone George formed on 3 March 2007 in the Joseph Bonaparte Gulf. By the time it crossed the coast, 50 km north-east of Port Hedland on 8 March, it had intensified from a Category 3 to a Category 5 tropical cyclone.  Winds generated by Tropical Cyclone George reached 154 km per hour at Port Hedland before the equipment failed. Temporary accommodation at a railway camp was severely damaged with some units breaking into pieces, causing greater damage. Of the 230 workers seeking shelter at the camp, which was 120 km south of Port Hedland, two died and 22 were injured. Damage was also reported at 3 mining camps, where 1000 people were cut off from rescuers by 275 km per hour winds.  An emergency situation was declared under the Emergency Management Act on 9 March to assist areas impacted by TC George, including the local government districts of Port Hedland, Roebourne and Ashburton.  Gas and oil production facilities in the region were closed for up to seven days as a result of the cyclone. The Insurance Council of Australia estimated the 2007 damage at $8 million, with the 2011 estimated normalised cost of $12 million.",2007-03-03,08/03/2007,-20.31162643,118.5752563,0,0,20,3,8000000,0,0,0,0,0,Western Australia
13,Disaster Event,Transport,"On 28 March, the ferries HarbourCat and Pam Burridge, and the motor cruiser Merinda, collided approximately 96 m east of the Harbour Bridge and 180 m out from the shoreline of Dawes Point in the Sydney Harbour. The speed at which the vessels were travelling was estimated at 25 knots.  The Master of the Pam Burridge sighted the Merinda on the bow side at a distance of approximately 20 m. At 10.50 pm, the Starboard pontoon (hull) of the Pam Burridge collided with the Starboard side of Merinda midway along its length. The Pam Burridge tore through the hull, machinery space and decking and dislodged the transom. The Merinda's fly bridge was also destroyed.   Consequently, the Merinda was effectively cut in two and the occupants were either thrown into the water or left clinging onto the wreckage. Air trapped below deck in the trunk cabin kept the wreckage of Merinda afloat until the responding vessels attended. Four passengers on board Merinda died and the remaining eight required hospitalisation. Contributing factors to the collision included; poor visibility, environmental factors and human error.",2007-03-28,28/03/2007,-33.8515625,151.2089539,0,0,8,4,0,0,0,0,2,0,New South Wales
14,Disaster Event,Hail,"On 31 October 2006 at Hexham in the Hunter Valley, a thunderstorm produced hail 4 cm in diameter. The hail damaged up to 10,000 motor vehicles and stripped leaves off trees.  At Wallsend a thunderstorm produced 4 cm hail, at Kahibah strong winds and 2 cm hail was reported and at New Lambton hail 3-4 cm in diameter was reported. The SES received more than 257 calls for assistance in the Newcastle city area.  The Insurance Council of Australia estimated the 2006 damage at $51 million, with the 2011 estimated normalised cost of $60 million.",2006-10-31,31/10/2006,-32.82806015,151.6847076,0,0,0,0,51000000,0,0,0,0,0,New South Wales
15,Disaster Event,Transport,"On 23 March 2007 an accident occurred in the Burnley Tunnel Melbourne which links commuters between the city and eastern suburbs. A truck stopped in the left lane due to a blown tyre. This notified City Link monitoring control centre who activated a closed lane signal and reduced the tunnel speed limit. The accident occurred when a truck ran into cars trying to drive around the stationary truck, setting off further collisions. One of the trucks burst into flames on impact causing a large fire and explosions.  Three people were killed and two injured. Evacuation of hundreds of commuters was necessary and the tunnel remained closed for several days.",2007-03-23,23/03/2007,-37.82619095,144.9970398,247,0,2,3,0,0,0,0,0,0,Victoria
